code,name,title,avatar_url,description
2045,喵呜啊,美食爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/25Sr3wmf6C.jpg,美食爱好者
2065,墨八,中餐主厨,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/QbzFTn8HEw.jpg,中餐主厨
2088,哈姆冰冰,料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/kSdbm2Ms2p.jpg,料理人
2094,小夯,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/Wf6yNcam4Q.jpg,料理达人
2114,Fabian Steel,海鲜专家,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/7BYbsGxWF2.jpg,来自科罗曼塞尔新西兰的海鲜专家，参与新西兰贻贝，牡蛎，鲍鱼养殖超过25年，尤其热衷海鲜烹饪。
2132,yuxixi,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/dckBaQSxzw.jpg,美食达人
2133,嘉丝,知名美食博主,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/pFnpBBdh2M.jpg,知名美食博主
2141,我为吃狂,餐厅主厨,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/dbFt5wihAD.jpg,餐厅主厨
2176,Josh Emett,新西兰明星厨师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/r2iHfGYEmf.jpg,新西兰广受好评的明星厨师，曾在 Gorden Ramsay 位于英国伦敦的餐厅担任总厨一职长达10年之久。之后回到新西兰皇后镇开了自己的第一家餐厅Rata，至今在新西兰拥有9家餐厅。
2191,夏天的冰淇淋,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/EYf55GKawa.jpg,美食达人
2303,王老师,资深中餐老师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/WyFPc8WFfK.jpg,资深中餐老师
2321,SideChef,"Recipes, Meal Plans, Grocery Lists",https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/FCsQPdRri4,https://www.sidechef.com/
2377,Jammy,调酒师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/BNEPPjhWk4.jpeg,调酒师
2570,芭比,美食博主,https://static.ak2.co/users/avatar/NMSeCDZ7ib.jpg,国家西点技师，电台Fm89.9“今天吃什么”节目长期特约嘉宾，或和一群煮妇一起玩美厨课堂教大家做菜，美食Kol。
2611,Tracyw,美食达人,https://static.ak2.co/users/avatar/jBEbd8SAZ3.jpg,美食达人
2628,象印,zojirushi象印,https://static.ak2.co/users/avatar/PwXF43neBc.jpg,日本象印公司创立90余年，拥有电饭煲、电热水瓶、保温保冷杯、电火锅、面包机、加湿器等众多系列人气产品。拥有象印，享受品质生活。
2894,九阳,九阳股份有限公司,https://static.ak2.co/users/avatar/PJC6njD8M7.jpg,一个想做网红的家电品牌
67826,WORLD KITCHEN,,https://static.ak2.co/users/avatar/GzRnXX27My.jpg,
